id,status,currency,country_code,country_name
1,failed,USD,US,United States
2,success,NGN,NG,Nigeria
3,abandoned,NGN,null,null
4,success,NGN,NG,Nigeria
5,abandoned,NGN,NG,Nigeria
6,abandoned,NGN,null,null
7,success,NGN,NG,Nigeria
8,abandoned,USD,null,null
9,abandoned,NGN,null,null
10,abandoned,NGN,null,null
11,success,NGN,NG,Nigeria
12,failed,USD,US,United States
13,abandoned,NGN,NG,Nigeria
14,success,NGN,NG,Nigeria
15,abandoned,NGN,NG,Nigeria
16,success,NGN,NG,Nigeria
17,abandoned,NGN,null,null
18,abandoned,NGN,null,null
19,abandoned,USD,US,United States
20,failed,USD,US,United States
21,success,NGN,US,United States
22,failed,NGN,GB,United Kingdom
23,abandoned,NGN,null,null
24,abandoned,NGN,GH,Ghana
25,failed,NGN,GB,United Kingdom
26,success,NGN,NG,Nigeria
27,failed,NGN,NG,Nigeria
28,failed,NGN,null,null
29,failed,NGN,NG,Nigeria
30,abandoned,USD,null,null
31,abandoned,USD,US,United States
32,success,NGN,NG,Nigeria
33,abandoned,USD,null,null
34,success,NGN,NG,Nigeria
35,abandoned,NGN,null,null
36,failed,NGN,NG,Nigeria
37,abandoned,USD,null,null
38,abandoned,NGN,null,null
39,success,USD,ZA,South Africa
40,success,NGN,NG,Nigeria
41,abandoned,NGN,NG,Nigeria
42,abandoned,NGN,null,null
43,abandoned,NGN,null,null
44,success,NGN,NG,Nigeria
45,abandoned,NGN,null,null
46,abandoned,NGN,null,null
47,abandoned,NGN,null,null
48,success,NGN,GB,United Kingdom
49,abandoned,NGN,null,null
50,failed,NGN,NG,Nigeria
51,success,NGN,NG,Nigeria
52,abandoned,NGN,null,null
53,success,NGN,GB,United Kingdom
54,abandoned,NGN,null,null
55,abandoned,NGN,null,null
56,success,NGN,NG,Nigeria
57,success,NGN,NG,null
58,abandoned,NGN,null,null
59,success,NGN,NG,Nigeria
60,success,USD,GB,United Kingdom
61,success,NGN,NG,Nigeria
62,success,NGN,NG,Nigeria
63,abandoned,USD,US,United States
64,abandoned,NGN,null,null
65,success,NGN,NG,Nigeria
66,abandoned,USD,null,null
67,success,NGN,null,null
68,abandoned,NGN,null,null
69,abandoned,NGN,null,null
70,success,NGN,NG,Nigeria
71,abandoned,NGN,null,null
72,abandoned,USD,null,null
73,abandoned,NGN,null,null
74,abandoned,NGN,null,null
75,success,NGN,NG,Nigeria
76,abandoned,NGN,null,null
77,failed,NGN,NG,Nigeria
78,success,NGN,NG,Nigeria
79,abandoned,NGN,null,null
80,success,NGN,NG,Nigeria
81,success,NGN,NG,Nigeria
82,abandoned,NGN,null,null
83,success,USD,US,United States
84,success,NGN,NG,Nigeria
85,success,NGN,NG,Nigeria
86,abandoned,NGN,null,null
87,success,NGN,NG,Nigeria
88,failed,NGN,US,United States
89,success,USD,US,United States
90,abandoned,NGN,null,null
91,abandoned,NGN,null,null
92,success,NGN,NG,Nigeria
93,abandoned,NGN,null,null
94,abandoned,NGN,null,null
95,success,NGN,NG,Nigeria
96,abandoned,USD,null,null
97,success,NGN,NG,Nigeria
98,failed,NGN,NG,Nigeria
99,abandoned,NGN,null,null
100,abandoned,USD,null,null
101,failed,NGN,NG,Nigeria
102,abandoned,NGN,null,null
103,success,NGN,GB,United Kingdom
104,success,USD,US,United States
105,abandoned,NGN,null,null
106,success,USD,null,null
107,abandoned,NGN,null,null
108,success,NGN,GB,United Kingdom
109,abandoned,NGN,null,null
110,abandoned,NGN,null,null
111,abandoned,USD,null,null
112,abandoned,NGN,null,null
113,success,NGN,NG,Nigeria
114,abandoned,NGN,null,null
115,abandoned,NGN,null,null
116,success,NGN,NG,Nigeria
117,abandoned,NGN,null,null
118,abandoned,USD,null,null
119,abandoned,NGN,null,null
120,success,NGN,NG,Nigeria
121,abandoned,NGN,null,null
122,abandoned,NGN,null,null
123,success,NGN,NG,Nigeria
124,success,NGN,NG,Nigeria
125,success,NGN,NG,Nigeria
126,success,NGN,NG,Nigeria
127,abandoned,USD,IT,Italy
128,abandoned,USD,null,null
129,success,NGN,NG,Nigeria
130,success,NGN,US,United States
131,success,NGN,NG,Nigeria
132,failed,NGN,NG,Nigeria
133,failed,NGN,NG,Nigeria
134,abandoned,NGN,null,null
135,success,NGN,NG,Nigeria
136,success,NGN,NG,Nigeria
137,failed,USD,US,United States
138,abandoned,NGN,null,null
139,success,NGN,NG,Nigeria
140,success,NGN,NG,Nigeria
141,success,NGN,NG,Nigeria
142,success,NGN,NG,Nigeria
143,abandoned,USD,null,null
144,abandoned,NGN,null,null
145,failed,USD,US,United States
146,reversed,NGN,NG,Nigeria
147,success,NGN,NG,Nigeria
148,abandoned,USD,null,null
149,abandoned,NGN,NG,Nigeria
150,success,NGN,NG,Nigeria
151,failed,NGN,NG,Nigeria
152,success,NGN,NG,Nigeria
153,abandoned,USD,null,null
154,success,NGN,NG,Nigeria
155,abandoned,NGN,null,null
156,failed,NGN,NG,Nigeria
157,success,NGN,NG,Nigeria
158,success,NGN,NG,Nigeria
159,abandoned,NGN,NG,Nigeria
160,success,NGN,US,United States
161,abandoned,NGN,null,null
162,success,NGN,NG,Nigeria
163,success,USD,GB,United Kingdom
164,abandoned,NGN,null,null
165,abandoned,NGN,null,null
166,success,NGN,NG,Nigeria
167,abandoned,USD,null,null
168,abandoned,NGN,null,null
169,abandoned,NGN,null,null
170,failed,NGN,NG,Nigeria
171,success,NGN,NG,Nigeria
172,abandoned,NGN,null,null
173,success,NGN,NG,Nigeria
174,success,NGN,NG,Nigeria
175,failed,NGN,US,United States
176,abandoned,USD,null,null
177,success,NGN,NG,Nigeria
178,abandoned,NGN,null,null
179,abandoned,NGN,null,null
180,abandoned,USD,null,null
181,success,NGN,NG,Nigeria
182,failed,NGN,NG,Nigeria
183,success,NGN,NG,Nigeria
184,abandoned,NGN,null,null
185,abandoned,USD,null,null
186,abandoned,NGN,null,null
187,success,NGN,NG,Nigeria
188,abandoned,NGN,null,null
189,abandoned,NGN,null,null
190,failed,USD,US,United States
191,abandoned,NGN,null,null
192,abandoned,NGN,null,null
193,success,NGN,NG,Nigeria
