id,status,currency,country_code,country_name
1,failed,USD,US,United States
2,success,NGN,NG,Nigeria
4,success,NGN,NG,Nigeria
5,abandoned,NGN,NG,Nigeria
7,success,NGN,NG,Nigeria
11,success,NGN,NG,Nigeria
12,failed,USD,US,United States
13,abandoned,NGN,NG,Nigeria
14,success,NGN,NG,Nigeria
15,abandoned,NGN,NG,Nigeria
16,success,NGN,NG,Nigeria
19,abandoned,USD,US,United States
20,failed,USD,US,United States
21,success,NGN,US,United States
22,failed,NGN,GB,United Kingdom
24,abandoned,NGN,GH,Ghana
25,failed,NGN,GB,United Kingdom
26,success,NGN,NG,Nigeria
27,failed,NGN,NG,Nigeria
29,failed,NGN,NG,Nigeria
31,abandoned,USD,US,United States
32,success,NGN,NG,Nigeria
34,success,NGN,NG,Nigeria
36,failed,NGN,NG,Nigeria
39,success,USD,ZA,South Africa
40,success,NGN,NG,Nigeria
41,abandoned,NGN,NG,Nigeria
44,success,NGN,NG,Nigeria
48,success,NGN,GB,United Kingdom
50,failed,NGN,NG,Nigeria
51,success,NGN,NG,Nigeria
53,success,NGN,GB,United Kingdom
56,success,NGN,NG,Nigeria
59,success,NGN,NG,Nigeria
60,success,USD,GB,United Kingdom
61,success,NGN,NG,Nigeria
62,success,NGN,NG,Nigeria
63,abandoned,USD,US,United States
65,success,NGN,NG,Nigeria
70,success,NGN,NG,Nigeria
75,success,NGN,NG,Nigeria
77,failed,NGN,NG,Nigeria
78,success,NGN,NG,Nigeria
80,success,NGN,NG,Nigeria
81,success,NGN,NG,Nigeria
83,success,USD,US,United States
84,success,NGN,NG,Nigeria
85,success,NGN,NG,Nigeria
87,success,NGN,NG,Nigeria
88,failed,NGN,US,United States
89,success,USD,US,United States
92,success,NGN,NG,Nigeria
95,success,NGN,NG,Nigeria
97,success,NGN,NG,Nigeria
98,failed,NGN,NG,Nigeria
101,failed,NGN,NG,Nigeria
103,success,NGN,GB,United Kingdom
104,success,USD,US,United States
108,success,NGN,GB,United Kingdom
113,success,NGN,NG,Nigeria
116,success,NGN,NG,Nigeria
120,success,NGN,NG,Nigeria
123,success,NGN,NG,Nigeria
124,success,NGN,NG,Nigeria
125,success,NGN,NG,Nigeria
126,success,NGN,NG,Nigeria
127,abandoned,USD,IT,Italy
129,success,NGN,NG,Nigeria
130,success,NGN,US,United States
131,success,NGN,NG,Nigeria
132,failed,NGN,NG,Nigeria
133,failed,NGN,NG,Nigeria
135,success,NGN,NG,Nigeria
136,success,NGN,NG,Nigeria
137,failed,USD,US,United States
139,success,NGN,NG,Nigeria
140,success,NGN,NG,Nigeria
141,success,NGN,NG,Nigeria
142,success,NGN,NG,Nigeria
145,failed,USD,US,United States
146,reversed,NGN,NG,Nigeria
147,success,NGN,NG,Nigeria
149,abandoned,NGN,NG,Nigeria
150,success,NGN,NG,Nigeria
151,failed,NGN,NG,Nigeria
152,success,NGN,NG,Nigeria
154,success,NGN,NG,Nigeria
156,failed,NGN,NG,Nigeria
157,success,NGN,NG,Nigeria
158,success,NGN,NG,Nigeria
159,abandoned,NGN,NG,Nigeria
160,success,NGN,US,United States
162,success,NGN,NG,Nigeria
163,success,USD,GB,United Kingdom
166,success,NGN,NG,Nigeria
170,failed,NGN,NG,Nigeria
171,success,NGN,NG,Nigeria
173,success,NGN,NG,Nigeria
174,success,NGN,NG,Nigeria
175,failed,NGN,US,United States
177,success,NGN,NG,Nigeria
181,success,NGN,NG,Nigeria
182,failed,NGN,NG,Nigeria
183,success,NGN,NG,Nigeria
187,success,NGN,NG,Nigeria
190,failed,USD,US,United States
193,success,NGN,NG,Nigeria
194,success,NGN,NG,Nigeria
196,success,NGN,NG,Nigeria
197,failed,USD,NG,Nigeria
198,success,NGN,NG,Nigeria
199,success,USD,IE,Ireland
200,success,NGN,NG,Nigeria
205,failed,NGN,NG,Nigeria
206,success,USD,NG,Nigeria
207,success,USD,ZA,South Africa
209,success,NGN,NG,Nigeria
212,success,NGN,NG,Nigeria
213,success,NGN,NG,Nigeria
215,failed,NGN,NG,Nigeria
217,success,NGN,GB,United Kingdom
219,success,USD,US,United States
220,success,NGN,NG,Nigeria
221,abandoned,USD,US,United States
222,success,NGN,NG,Nigeria
223,success,NGN,NG,Nigeria
224,failed,USD,US,United States
226,success,NGN,NG,Nigeria
227,failed,USD,US,United States
229,abandoned,NGN,NG,Nigeria
230,success,NGN,NG,Nigeria
232,failed,NGN,CA,Canada
234,success,NGN,NG,Nigeria
237,success,NGN,NG,Nigeria
238,abandoned,NGN,US,United States
239,success,USD,GB,United Kingdom
240,success,NGN,NG,Nigeria
241,abandoned,USD,US,United States
243,failed,NGN,NG,Nigeria
244,failed,USD,US,United States
245,abandoned,NGN,NG,Nigeria
246,success,NGN,NG,Nigeria
247,success,NGN,NG,Nigeria
248,success,NGN,NG,Nigeria
249,reversed,NGN,NG,Nigeria
251,success,USD,CA,Canada
253,success,NGN,NG,Nigeria
254,success,NGN,NG,Nigeria
255,success,NGN,NG,Nigeria
256,success,NGN,NG,Nigeria
258,failed,USD,GB,United Kingdom
259,failed,NGN,NG,Nigeria
260,success,NGN,NG,Nigeria
264,success,NGN,GB,United Kingdom
267,failed,NGN,NG,Nigeria
268,success,NGN,NG,Nigeria
271,success,USD,US,United States
272,success,NGN,NG,Nigeria
273,success,NGN,GB,United Kingdom
274,success,NGN,NG,Nigeria
276,failed,NGN,NG,Nigeria
277,success,NGN,NG,Nigeria
278,success,NGN,NG,Nigeria
283,success,NGN,NG,Nigeria
286,success,NGN,NG,Nigeria
289,abandoned,NGN,NG,Nigeria
292,success,NGN,NG,Nigeria
294,abandoned,NGN,NG,Nigeria
295,success,NGN,NG,Nigeria
297,success,NGN,NG,Nigeria
299,success,NGN,NG,Nigeria
301,success,USD,GB,United Kingdom
302,success,NGN,ZA,South Africa
303,success,NGN,NG,Nigeria
306,success,NGN,US,United States
308,failed,USD,US,United States
309,success,NGN,NG,Nigeria
311,success,NGN,NG,Nigeria
312,success,NGN,NG,Nigeria
313,success,NGN,NG,Nigeria
314,failed,NGN,NG,Nigeria
315,success,NGN,NG,Nigeria
