,status,currency,country_code,Country
id,failed,USD,US,
1,success,NGN,NG,
2,abandoned,NGN,null,
3,success,NGN,NG,
4,abandoned,NGN,NG,
5,abandoned,NGN,null,
6,success,NGN,NG,
7,abandoned,USD,null,
8,abandoned,NGN,null,
9,abandoned,NGN,null,
10,success,NGN,NG,
11,failed,USD,US,
12,abandoned,NGN,NG,
13,success,NGN,NG,
14,abandoned,NGN,NG,
15,success,NGN,NG,
16,abandoned,NGN,null,
17,abandoned,NGN,null,
18,abandoned,USD,US,
19,failed,USD,US,
20,success,NGN,US,
21,failed,NGN,GB,
22,abandoned,NGN,null,
23,abandoned,NGN,GH,
24,failed,NGN,GB,
25,success,NGN,NG,
26,failed,NGN,NG,
27,failed,NGN,null,
28,failed,NGN,NG,
29,abandoned,USD,null,
30,abandoned,USD,US,
31,success,NGN,NG,
32,abandoned,USD,null,
33,success,NGN,NG,
34,abandoned,NGN,null,
35,failed,NGN,NG,
36,abandoned,USD,null,
37,abandoned,NGN,null,
38,success,USD,ZA,
39,success,NGN,NG,
40,abandoned,NGN,NG,
41,abandoned,NGN,null,
42,abandoned,NGN,null,
43,success,NGN,NG,
44,abandoned,NGN,null,
45,abandoned,NGN,null,
46,abandoned,NGN,null,
47,success,NGN,GB,
48,abandoned,NGN,null,
49,failed,NGN,NG,
50,success,NGN,NG,
51,abandoned,NGN,null,
52,success,NGN,GB,
53,abandoned,NGN,null,
54,abandoned,NGN,null,
55,success,NGN,NG,
56,success,NGN,NG,
57,abandoned,NGN,null,
58,success,NGN,NG,
59,success,USD,GB,
60,success,NGN,NG,
61,success,NGN,NG,
62,abandoned,USD,US,
63,abandoned,NGN,null,
64,success,NGN,NG,
65,abandoned,USD,null,
66,success,NGN,,
67,abandoned,NGN,null,
68,abandoned,NGN,null,
69,success,NGN,NG,
70,abandoned,NGN,null,
71,abandoned,USD,null,
72,abandoned,NGN,null,
73,abandoned,NGN,null,
74,success,NGN,NG,
75,abandoned,NGN,null,
76,failed,NGN,NG,
77,success,NGN,NG,
78,abandoned,NGN,null,
79,success,NGN,NG,
80,success,NGN,NG,
81,abandoned,NGN,null,
82,success,USD,US,
83,success,NGN,NG,
84,success,NGN,NG,
85,abandoned,NGN,null,
86,success,NGN,NG,
87,failed,NGN,US,
88,success,USD,US,
89,abandoned,NGN,null,
90,abandoned,NGN,null,
91,success,NGN,NG,
92,abandoned,NGN,null,
93,abandoned,NGN,null,
94,success,NGN,NG,
95,abandoned,USD,null,
96,success,NGN,NG,
97,failed,NGN,NG,
98,abandoned,NGN,null,
99,abandoned,USD,null,
100,failed,NGN,NG,
101,abandoned,NGN,null,
102,success,NGN,GB,
103,success,USD,US,
104,abandoned,NGN,null,
105,success,USD,,
106,abandoned,NGN,null,
107,success,NGN,GB,
108,abandoned,NGN,null,
109,abandoned,NGN,null,
110,abandoned,USD,null,
111,abandoned,NGN,null,
112,success,NGN,NG,
113,abandoned,NGN,null,
114,abandoned,NGN,null,
115,success,NGN,NG,
116,abandoned,NGN,null,
117,abandoned,USD,null,
118,abandoned,NGN,null,
119,success,NGN,NG,
120,abandoned,NGN,null,
121,abandoned,NGN,null,
122,success,NGN,NG,
123,success,NGN,NG,
124,success,NGN,NG,
125,success,NGN,NG,
126,abandoned,USD,IT,
127,abandoned,USD,null,
128,success,NGN,NG,
129,success,NGN,US,
130,success,NGN,NG,
131,failed,NGN,NG,
132,failed,NGN,NG,
133,abandoned,NGN,null,
134,success,NGN,NG,
135,success,NGN,NG,
136,failed,USD,US,
137,abandoned,NGN,null,
138,success,NGN,NG,
139,success,NGN,NG,
140,success,NGN,NG,
141,success,NGN,NG,
142,abandoned,USD,null,
143,abandoned,NGN,null,
144,failed,USD,US,
145,reversed,NGN,NG,
146,success,NGN,NG,
147,abandoned,USD,null,
148,abandoned,NGN,NG,
149,success,NGN,NG,
150,failed,NGN,NG,
151,success,NGN,NG,
152,abandoned,USD,null,
153,success,NGN,NG,
154,abandoned,NGN,null,
155,failed,NGN,NG,
156,success,NGN,NG,
157,success,NGN,NG,
158,abandoned,NGN,NG,
159,success,NGN,US,
160,abandoned,NGN,null,
161,success,NGN,NG,
162,success,USD,GB,
163,abandoned,NGN,null,
164,abandoned,NGN,null,
165,success,NGN,NG,
166,abandoned,USD,null,
167,abandoned,NGN,null,
168,abandoned,NGN,null,
169,failed,NGN,NG,
170,success,NGN,NG,
171,abandoned,NGN,null,
172,success,NGN,NG,
173,success,NGN,NG,
174,failed,NGN,US,
175,abandoned,USD,null,
176,success,NGN,NG,
177,abandoned,NGN,null,
178,abandoned,NGN,null,
179,abandoned,USD,null,
180,success,NGN,NG,
181,failed,NGN,NG,
182,success,NGN,NG,
183,abandoned,NGN,null,
184,abandoned,USD,null,
185,abandoned,NGN,null,
186,success,NGN,NG,
187,abandoned,NGN,null,
188,abandoned,NGN,null,
189,failed,USD,US,
190,abandoned,NGN,null,
191,abandoned,NGN,null,
192,success,NGN,NG,
193,success,NGN,NG,
194,abandoned,NGN,null,
195,success,NGN,NG,
196,failed,USD,NG,
197,success,NGN,NG,
198,success,USD,IE,
199,success,NGN,NG,
200,abandoned,NGN,null,
201,abandoned,NGN,null,
202,abandoned,USD,null,
203,abandoned,NGN,null,
204,failed,NGN,NG,
205,success,USD,NG,
206,success,USD,ZA,
207,abandoned,NGN,null,
208,success,NGN,NG,
209,abandoned,NGN,null,
210,abandoned,NGN,null,
211,success,NGN,NG,
212,success,NGN,NG,
213,abandoned,NGN,null,
214,failed,NGN,NG,
215,abandoned,NGN,null,
216,success,NGN,GB,
217,abandoned,NGN,null,
218,success,USD,US,
219,success,NGN,NG,
220,abandoned,USD,US,
221,success,NGN,NG,
222,success,NGN,NG,
223,failed,USD,US,
224,abandoned,NGN,null,
225,success,NGN,NG,
226,failed,USD,US,
227,abandoned,USD,null,
228,abandoned,NGN,NG,
229,success,NGN,NG,
230,abandoned,NGN,null,
231,failed,NGN,CA,
232,abandoned,NGN,null,
233,success,NGN,NG,
234,abandoned,NGN,null,
235,abandoned,NGN,null,
236,success,NGN,NG,
237,abandoned,NGN,US,
238,success,USD,GB,
239,success,NGN,NG,
240,abandoned,USD,US,
241,abandoned,NGN,null,
242,failed,NGN,NG,
243,failed,USD,US,
244,abandoned,NGN,NG,
245,success,NGN,NG,
246,success,NGN,NG,
247,success,NGN,NG,
248,reversed,NGN,NG,
249,abandoned,NGN,null,
250,success,USD,CA,
251,abandoned,NGN,null,
252,success,NGN,NG,
253,success,NGN,NG,
254,success,NGN,NG,
255,success,NGN,NG,
256,abandoned,USD,null,
257,failed,USD,GB,
258,failed,NGN,NG,
259,success,NGN,NG,
260,abandoned,NGN,null,
261,abandoned,NGN,null,
262,abandoned,USD,null,
263,success,NGN,GB,
264,abandoned,NGN,null,
265,abandoned,NGN,null,
266,failed,NGN,NG,
267,success,NGN,NG,
268,abandoned,NGN,null,
269,abandoned,NGN,null,
270,success,USD,US,
271,success,NGN,NG,
272,success,NGN,GB,
273,success,NGN,NG,
274,abandoned,NGN,null,
275,failed,NGN,NG,
276,success,NGN,NG,
277,success,NGN,NG,
278,abandoned,NGN,null,
