id,status,currency,country_code,country_name,,,Summary,
3,abandoned,NGN,null,null,,,Row Labels,Count of id
6,abandoned,NGN,null,null,,,abandoned,1285
8,abandoned,USD,null,null,,,failed,14
9,abandoned,NGN,null,null,,,success,14
10,abandoned,NGN,null,null,,,Grand Total,1313
17,abandoned,NGN,null,null,,,,
18,abandoned,NGN,null,null,,,,
23,abandoned,NGN,null,null,,,,
28,failed,NGN,null,null,,,,
30,abandoned,USD,null,null,,,,
33,abandoned,USD,null,null,,,,
35,abandoned,NGN,null,null,,,,
37,abandoned,USD,null,null,,,,
38,abandoned,NGN,null,null,,,,
42,abandoned,NGN,null,null,,,,
43,abandoned,NGN,null,null,,,,
45,abandoned,NGN,null,null,,,,
46,abandoned,NGN,null,null,,,,
47,abandoned,NGN,null,null,,,,
49,abandoned,NGN,null,null,,,,
52,abandoned,NGN,null,null,,,,
54,abandoned,NGN,null,null,,,,
55,abandoned,NGN,null,null,,,,
58,abandoned,NGN,null,null,,,,
64,abandoned,NGN,null,null,,,,
66,abandoned,USD,null,null,,,,
67,success,NGN,null,null,,,,
68,abandoned,NGN,null,null,,,,
69,abandoned,NGN,null,null,,,,
71,abandoned,NGN,null,null,,,,
72,abandoned,USD,null,null,,,,
73,abandoned,NGN,null,null,,,,
74,abandoned,NGN,null,null,,,,
76,abandoned,NGN,null,null,,,,
79,abandoned,NGN,null,null,,,,
82,abandoned,NGN,null,null,,,,
86,abandoned,NGN,null,null,,,,
90,abandoned,NGN,null,null,,,,
91,abandoned,NGN,null,null,,,,
93,abandoned,NGN,null,null,,,,
94,abandoned,NGN,null,null,,,,
96,abandoned,USD,null,null,,,,
99,abandoned,NGN,null,null,,,,
100,abandoned,USD,null,null,,,,
102,abandoned,NGN,null,null,,,,
105,abandoned,NGN,null,null,,,,
106,success,USD,null,null,,,,
107,abandoned,NGN,null,null,,,,
109,abandoned,NGN,null,null,,,,
110,abandoned,NGN,null,null,,,,
111,abandoned,USD,null,null,,,,
112,abandoned,NGN,null,null,,,,
114,abandoned,NGN,null,null,,,,
115,abandoned,NGN,null,null,,,,
117,abandoned,NGN,null,null,,,,
118,abandoned,USD,null,null,,,,
119,abandoned,NGN,null,null,,,,
121,abandoned,NGN,null,null,,,,
122,abandoned,NGN,null,null,,,,
128,abandoned,USD,null,null,,,,
134,abandoned,NGN,null,null,,,,
